nuts3,unit,year,value
DK011,MIO_EUR,2024,76296.4
DK011,THS,2023,820.32
DK012,MIO_EUR,2024,68622.68
DK012,THS,2023,567.72
DK013,MIO_EUR,2024,27532.88
DK013,THS,2023,474.93
DK014,MIO_EUR,2024,1684.4
DK014,THS,2023,39.61
DK021,MIO_EUR,2024,11347.9
DK021,THS,2023,258.34
DK022,MIO_EUR,2024,28353.55
DK022,THS,2023,592.85
DK031,MIO_EUR,2024,23636.72
DK031,THS,2023,505.31
DK032,MIO_EUR,2024,45184.9
DK032,THS,2023,732.87
DK041,MIO_EUR,2024,24731.53
DK041,THS,2023,430.35
DK042,MIO_EUR,2024,51837.47
DK042,THS,2023,931.64
DK050,MIO_EUR,2024,30552.05
DK050,THS,2023,594.06
DKZZZ,MIO_EUR,2024,2620.26
DKZZZ,THS,2023,0.0
